hospital_id;device_id;utilization_date;amount;name;creation_date;title;category;department_id;extra_info
34;104;28/03/2020;2023;Stokes, Phillips and Jones;04/05/2012;Neurologia;Imagiologia;1039;Software v4.2
38;107;19/08/2020;4508;Roman-Brown;31/08/2017;Urgências;Desfibrilhação;1040;Calibração pendente
39;105;19/01/2022;4737;Mora, Rose and Daniels;01/08/2019;Cardiologia;Esterilização;1041;Equipamento Novo
40;107;19/04/2024;3673;Foster and Sons;02/02/2020;Pediatria;Desfibrilhação;1042;Ala Norte
41;106;02/01/2021;1882;Scott PLC;02/03/2019;Cardiologia;Infusão;1043;Calibração pendente
42;101;17/04/2023;4348;Griffin Inc;19/03/2014;Urgências;Monitorização;1044;Ala Norte
43;108;10/06/2020;4281;Watson PLC;01/11/2010;Ginecologia;Sutura Mecânica;1045;Software v4.2
44;102;18/04/2024;4425;Stewart, Thomas and Goodwin;02/11/2015;Cuidados Intensivos;Ventilação;1046;Calibração pendente
45;108;14/03/2022;496;Tate-Lewis;18/03/2015;Oncologia;Sutura Mecânica;1047;Manutenção efetuada
46;107;27/04/2021;119;Meyer Inc;16/06/2013;Oncologia;Desfibrilhação;1048;Calibração pendente
47;103;03/12/2020;4242;Stevenson, Ross and Francis;17/02/2014;Cardiologia;Diagnóstico;1049;Equipamento Novo
48;101;16/07/2023;2594;Park PLC;13/07/2015;Ortopedia;Monitorização;1050;Ala Norte
49;107;07/02/2025;1792;Parker-Schwartz;07/11/2019;Radiologia;Desfibrilhação;1051;Piso 1
50;106;22/10/2020;2340;Gonzalez, Adams and Avery;08/07/2019;Cardiologia;Infusão;1052;Uso Urgente
13;102;01/11/2022;260;White, Mahoney and Merritt;07/09/2015;Ginecologia;Ventilação;1053;Ala Norte
51;108;31/08/2023;113;Bradley LLC;21/10/2018;Urgências;Sutura Mecânica;1054;Equipamento Novo
52;104;10/08/2024;796;Pierce and Sons;09/10/2020;Ginecologia;Imagiologia;1055;Calibração pendente
53;104;17/12/2025;756;Morrison PLC;12/11/2020;Cardiologia;Imagiologia;1056;Equipamento Novo
54;102;03/07/2023;135;Mcfarland, Norris and Wilson;17/06/2019;Oncologia;Ventilação;1057;Equipamento Novo
55;102;26/03/2020;1096;Page, Rojas and Sims;31/05/2017;Neurologia;Ventilação;1058;Ala Norte
25;103;24/06/2025;4070;Reilly, Rios and Dominguez;22/03/2023;Pediatria;Diagnóstico;1059;Calibração pendente
56;101;16/02/2020;2002;Hicks Inc;27/09/2014;Ortopedia;Monitorização;1060;Sala 302
48;106;16/11/2022;3428;Park PLC;21/12/2015;Radiologia;Infusão;1061;Equipamento Novo
57;101;02/01/2026;1471;Walton-Haynes;13/09/2017;Cardiologia;Monitorização;1062;Uso Urgente
58;103;28/11/2020;1588;Kim, Thompson and Stafford;03/06/2012;Bloco Operatório;Diagnóstico;1063;Sala 302
15;108;21/05/2022;2137;Khan Group;18/02/2014;Cardiologia;Sutura Mecânica;1064;Equipamento Novo
59;107;14/09/2024;3482;Thornton-Smith;28/05/2023;Neurologia;Desfibrilhação;1065;Sala 302
60;104;23/12/2020;1980;Macdonald and Sons;15/12/2015;Neurologia;Imagiologia;1066;Uso Urgente
61;107;23/04/2024;456;Olson, Phillips and Nelson;01/03/2017;Cardiologia;Desfibrilhação;1067;Manutenção efetuada
62;105;08/03/2021;1776;Rodriguez Inc;19/01/2013;Cuidados Intensivos;Esterilização;1068;Ala Norte
63;106;10/06/2020;829;Moore, Brady and Scott;01/12/2018;Ginecologia;Infusão;1069;Ala Norte
64;101;27/09/2020;1339;Roberts-Brown;07/08/2017;Cardiologia;Monitorização;1070;Uso Urgente
65;105;08/01/2025;2774;Moreno Inc;15/08/2017;Oncologia;Esterilização;1071;Equipamento Novo
65;102;08/01/2025;2774;Moreno Inc;04/01/2021;Pediatria;Ventilação;1072;Equipamento Novo
65;102;08/01/2025;2774;Moreno Inc;13/12/2021;Ortopedia;Ventilação;1073;Calibração pendente
66;101;23/08/2025;2020;Schultz-Sloan;14/02/2022;Neurologia;Monitorização;1074;Equipamento Novo
67;104;16/01/2024;1705;Scott and Sons;24/03/2021;Radiologia;Imagiologia;1075;Calibração pendente
68;103;10/05/2024;3182;Foster, Cabrera and Woods;02/11/2014;Pediatria;Diagnóstico;1076;Sala 302
69;106;20/06/2022;2559;Kline, Alexander and Allen;22/03/2021;Oncologia;Infusão;1077;Equipamento Novo
70;106;22/07/2024;3644;Long-Russell;07/04/2022;Ginecologia;Infusão;1078;Calibração pendente
43;106;30/12/2024;4604;Watson PLC;05/08/2018;Urgências;Infusão;1079;Software v4.2
5;108;13/03/2025;3334;Morris PLC;28/04/2015;Radiologia;Sutura Mecânica;1080;Equipamento Novo
13;106;25/02/2020;4446;White, Mahoney and Merritt;22/06/2015;Urgências;Infusão;1081;Piso 1
71;107;22/05/2020;434;Gallegos and Sons;13/09/2010;Pediatria;Desfibrilhação;1082;Piso 1
72;106;31/08/2023;4117;Richard, Rodriguez and Smith;20/03/2021;Urgências;Infusão;1083;Software v4.2
73;103;02/09/2025;1186;Lee, Brown and Cox;21/10/2023;Ortopedia;Diagnóstico;1084;Manutenção efetuada
40;101;03/05/2023;2403;Foster and Sons;18/04/2019;Neurologia;Monitorização;1085;Software v4.2
74;108;02/09/2025;678;Mcbride Ltd;26/04/2022;Cardiologia;Sutura Mecânica;1086;Calibração pendente
75;108;04/07/2020;627;Wright-Martin;13/07/2011;Cardiologia;Sutura Mecânica;1087;Sala 302
76;108;08/05/2023;3701;Harrison Group;02/06/2017;Urgências;Sutura Mecânica;1088;Piso 1
76;101;08/05/2023;3701;Harrison Group;01/11/2018;Ortopedia;Monitorização;1089;Sala 302
37;104;03/07/2020;3396;Riggs LLC;29/03/2013;Pediatria;Imagiologia;1090;Uso Urgente
77;107;19/03/2020;3841;Smith LLC;02/05/2017;Cardiologia;Desfibrilhação;1091;Manutenção efetuada
78;102;24/06/2021;518;Warren-Everett;21/01/2020;Cardiologia;Ventilação;1092;Ala Norte
79;101;23/02/2024;295;Jones PLC;16/04/2020;Cardiologia;Monitorização;1093;Manutenção efetuada
28;108;05/06/2024;2574;Esparza LLC;20/07/2015;Pediatria;Sutura Mecânica;1094;Software v4.2
80;103;15/12/2023;479;Potter, Rodriguez and Morrison;31/01/2021;Cuidados Intensivos;Diagnóstico;1095;Ala Norte
81;101;15/01/2025;415;Holmes Group;29/12/2022;Radiologia;Monitorização;1096;Ala Norte
82;105;10/09/2025;2016;Rodriguez-Willis;04/01/2018;Radiologia;Esterilização;1097;Equipamento Novo
83;102;30/01/2022;2668;Adams, Patterson and Cantrell;14/01/2013;Urgências;Ventilação;1098;Equipamento Novo
6;101;09/02/2021;1903;Russell LLC;24/03/2012;Urgências;Monitorização;1099;Ala Norte
84;104;25/10/2025;1028;Contreras-Henderson;15/11/2018;Bloco Operatório;Imagiologia;1100;Sala 302
85;108;28/01/2024;104;Jones-Boyd;07/05/2016;Ortopedia;Sutura Mecânica;1101;Software v4.2
86;108;13/07/2021;2565;Bailey-Hoffman;23/07/2014;Radiologia;Sutura Mecânica;1102;Ala Norte
87;103;06/11/2025;3966;Smith Inc;13/08/2024;Urgências;Diagnóstico;1103;Software v4.2
88;104;09/07/2021;4535;Smith-Williams;19/02/2015;Urgências;Imagiologia;1104;Ala Norte
89;108;09/08/2022;2157;Stanton Group;03/09/2016;Urgências;Sutura Mecânica;1105;Software v4.2
90;107;01/09/2021;4150;Pratt-Stephens;28/12/2012;Cardiologia;Desfibrilhação;1106;Piso 1
91;108;23/11/2024;2651;Hill-Hood;15/04/2018;Bloco Operatório;Sutura Mecânica;1107;Sala 302
92;106;22/04/2025;2695;Harris and Sons;20/12/2015;Ortopedia;Infusão;1108;Software v4.2
93;102;12/12/2021;1910;Spencer-Barnes;05/02/2020;Oncologia;Ventilação;1109;Ala Norte
94;103;13/09/2021;4997;Wilkinson Group;23/12/2018;Ginecologia;Diagnóstico;1110;Equipamento Novo
95;102;25/10/2020;201;Silva PLC;19/03/2017;Oncologia;Ventilação;1111;Manutenção efetuada
96;104;04/07/2023;3196;Taylor, Mills and Stanley;08/08/2015;Cardiologia;Imagiologia;1112;Manutenção efetuada
97;102;15/06/2023;1446;Simmons Inc;13/05/2020;Urgências;Ventilação;1113;Calibração pendente
98;108;26/08/2020;3422;Haynes, Cowan and Dunn;16/01/2013;Ginecologia;Sutura Mecânica;1114;Piso 1
99;102;29/09/2020;2721;Stephens Ltd;08/01/2015;Ortopedia;Ventilação;1115;Manutenção efetuada
66;108;09/06/2023;950;Schultz-Sloan;23/08/2015;Neurologia;Sutura Mecânica;1074;Calibração pendente
100;101;16/04/2025;2054;Flores-Martin;05/06/2022;Urgências;Monitorização;1116;Calibração pendente
67;108;21/11/2023;233;Scott and Sons;17/03/2014;Urgências;Sutura Mecânica;1117;Equipamento Novo
101;107;09/11/2025;2623;Dixon, Wilson and Dillon;19/12/2018;Cuidados Intensivos;Desfibrilhação;1118;Piso 1
102;108;26/10/2024;3016;Ramirez-Ayala;04/08/2023;Cuidados Intensivos;Sutura Mecânica;1119;Piso 1
103;103;05/03/2025;1202;Brown Group;25/08/2019;Cardiologia;Diagnóstico;1120;Ala Norte
104;104;18/12/2023;1708;Skinner-Soto;04/09/2017;Ginecologia;Imagiologia;1121;Piso 1
77;107;01/11/2021;970;Smith LLC;20/03/2015;Cardiologia;Desfibrilhação;1091;Sala 302
8;103;21/03/2021;4822;Stephens-Massey;11/08/2019;Cardiologia;Diagnóstico;1122;Manutenção efetuada
105;107;01/11/2024;2143;Cooper, Walker and Farrell;14/02/2019;Oncologia;Desfibrilhação;1123;Manutenção efetuada
106;101;26/12/2023;2689;Hamilton PLC;21/07/2019;Oncologia;Monitorização;1124;Equipamento Novo
107;107;29/03/2023;2275;Strong-Ross;25/07/2016;Radiologia;Desfibrilhação;1125;Piso 1
63;108;19/12/2022;2852;Moore, Brady and Scott;02/08/2018;Bloco Operatório;Sutura Mecânica;1126;Ala Norte
108;107;15/08/2021;4354;Sanford, Malone and Donovan;18/02/2014;Ortopedia;Desfibrilhação;1127;Equipamento Novo
109;108;21/10/2024;488;Hurley, Gonzalez and Gonzalez;08/08/2018;Oncologia;Sutura Mecânica;1128;Manutenção efetuada
110;102;13/12/2021;2097;Lee-Olson;22/04/2019;Ginecologia;Ventilação;1129;Piso 1
111;107;10/12/2023;721;Lowe-Hayes;14/04/2020;Cuidados Intensivos;Desfibrilhação;1130;Uso Urgente
112;103;04/08/2024;707;Baird, Sullivan and Hogan;03/08/2016;Oncologia;Diagnóstico;1131;Sala 302
113;101;04/10/2022;502;Kirby and Sons;18/05/2018;Urgências;Monitorização;1132;Equipamento Novo
114;101;24/06/2020;4060;Russo Group;07/12/2017;Cardiologia;Monitorização;1133;Sala 302
115;102;09/01/2021;3901;Adams, Case and Evans;07/02/2017;Cuidados Intensivos;Ventilação;1134;Ala Norte
116;108;24/01/2021;4537;Jordan, Craig and Parker;13/02/2016;Cardiologia;Sutura Mecânica;1135;Manutenção efetuada
117;108;23/01/2023;709;Mills Ltd;16/05/2015;Cardiologia;Sutura Mecânica;1136;Calibração pendente
117;106;23/01/2023;709;Mills Ltd;10/02/2020;Pediatria;Infusão;1137;Ala Norte
118;106;11/06/2024;3869;Thomas Group;21/02/2017;Oncologia;Infusão;1138;Ala Norte
119;103;28/09/2020;3830;Flowers Inc;20/11/2015;Radiologia;Diagnóstico;1139;Software v4.2
120;104;16/01/2020;815;Baker-Watts;16/03/2014;Cardiologia;Imagiologia;1140;Uso Urgente
121;108;13/01/2025;4447;Woods, Cook and Mullins;08/11/2017;Ginecologia;Sutura Mecânica;1141;Uso Urgente
122;104;26/01/2022;3616;Davis, Terry and Diaz;16/04/2015;Cardiologia;Imagiologia;1142;Sala 302
123;101;19/04/2023;1870;Jackson and Sons;01/11/2020;Radiologia;Monitorização;1143;Equipamento Novo
124;103;30/11/2021;3164;Phillips LLC;01/05/2015;Cuidados Intensivos;Diagnóstico;1144;Piso 1
125;107;31/08/2023;1031;Reed PLC;25/10/2014;Radiologia;Desfibrilhação;1145;Sala 302
62;101;26/10/2023;4261;Rodriguez Inc;14/01/2020;Cuidados Intensivos;Monitorização;1068;Sala 302
126;102;04/06/2020;3549;Jensen, Jones and Silva;27/02/2012;Ginecologia;Ventilação;1146;Uso Urgente
127;107;05/01/2021;4978;Garcia and Sons;10/08/2012;Oncologia;Desfibrilhação;1147;Equipamento Novo
73;107;24/05/2025;2648;Lee, Brown and Cox;05/05/2024;Radiologia;Desfibrilhação;1148;Equipamento Novo
128;106;17/10/2024;2772;Woods-Lopez;24/09/2017;Bloco Operatório;Infusão;1149;Equipamento Novo
129;106;15/10/2021;2464;Pham and Sons;21/10/2015;Urgências;Infusão;1150;Uso Urgente
130;107;23/01/2024;2025;Wilson, Howe and Duran;01/10/2020;Cardiologia;Desfibrilhação;1151;Piso 1
131;107;30/03/2021;4034;Bailey-Warren;11/02/2020;Ortopedia;Desfibrilhação;1152;Manutenção efetuada
18;108;06/01/2025;4775;Torres, Fry and Wilson;08/10/2021;Radiologia;Sutura Mecânica;1153;Software v4.2
18;105;06/01/2025;4775;Torres, Fry and Wilson;06/10/2017;Cuidados Intensivos;Esterilização;1154;Piso 1
132;107;01/08/2025;3410;Stewart-Garcia;30/03/2024;Urgências;Desfibrilhação;1155;Software v4.2
118;104;13/09/2020;1504;Thomas Group;17/03/2017;Pediatria;Imagiologia;1156;Piso 1
133;103;01/01/2026;3828;Davis Inc;30/10/2024;Ortopedia;Diagnóstico;1157;Manutenção efetuada
134;104;14/02/2022;3083;Kim-Pierce;13/11/2016;Cuidados Intensivos;Imagiologia;1158;Uso Urgente
135;106;29/12/2020;2475;Mendoza, Marshall and Warner;04/05/2018;Pediatria;Infusão;1159;Equipamento Novo
88;103;24/06/2023;3170;Smith-Williams;14/09/2017;Cardiologia;Diagnóstico;1160;Manutenção efetuada
136;108;25/04/2021;4036;Juarez Inc;26/12/2015;Ginecologia;Sutura Mecânica;1161;Ala Norte
137;106;28/06/2025;191;Willis and Sons;26/03/2023;Neurologia;Infusão;1162;Equipamento Novo
10;102;13/01/2025;2724;Banks, Robertson and Martinez;14/12/2023;Radiologia;Ventilação;1163;Manutenção efetuada
138;102;03/08/2024;3333;Lawrence LLC;12/06/2017;Pediatria;Ventilação;1164;Ala Norte
89;108;21/09/2023;2708;Stanton Group;11/09/2018;Pediatria;Sutura Mecânica;1165;Uso Urgente
94;105;23/06/2025;2088;Wilkinson Group;14/01/2016;Bloco Operatório;Esterilização;1166;Manutenção efetuada
24;105;17/12/2022;3485;Vang, Tanner and Robinson;19/06/2018;Cuidados Intensivos;Esterilização;1167;Equipamento Novo
139;104;12/03/2022;2870;Bradley, Bernard and Castro;10/10/2012;Cardiologia;Imagiologia;1168;Uso Urgente
140;106;23/08/2021;3537;Rodriguez-Edwards;23/08/2016;Urgências;Infusão;1169;Ala Norte
140;103;23/08/2021;3537;Rodriguez-Edwards;16/04/2013;Neurologia;Diagnóstico;1170;Ala Norte
141;105;24/11/2025;145;Espinoza Group;04/07/2020;Ortopedia;Esterilização;1171;Manutenção efetuada
142;105;16/10/2024;4053;Wilson and Sons;05/03/2020;Ortopedia;Esterilização;1172;Ala Norte
143;107;08/06/2023;787;Carey-Frazier;05/06/2019;Cardiologia;Desfibrilhação;1173;Calibração pendente
144;107;01/07/2025;437;Booker Group;27/02/2017;Neurologia;Desfibrilhação;1174;Sala 302
145;102;23/04/2021;3011;Valentine-Stewart;14/10/2012;Radiologia;Ventilação;1175;Software v4.2
146;106;03/07/2023;3679;Weaver-Hernandez;02/06/2014;Cuidados Intensivos;Infusão;1176;Calibração pendente
147;107;03/02/2020;2273;Hodges Group;20/03/2018;Urgências;Desfibrilhação;1177;Calibração pendente
124;106;25/05/2024;4516;Phillips LLC;10/03/2021;Oncologia;Infusão;1178;Calibração pendente
148;107;29/06/2024;2786;Riley Ltd;21/10/2018;Bloco Operatório;Desfibrilhação;1179;Ala Norte
149;102;29/10/2022;2975;Weaver Inc;01/11/2018;Urgências;Ventilação;1180;Manutenção efetuada
57;108;09/10/2022;1699;Walton-Haynes;08/09/2021;Pediatria;Sutura Mecânica;1181;Calibração pendente
125;103;28/05/2024;3300;Reed PLC;06/11/2018;Bloco Operatório;Diagnóstico;1182;Equipamento Novo
150;108;21/01/2022;4866;Richards, Wagner and Craig;19/02/2012;Cardiologia;Sutura Mecânica;1183;Software v4.2
133;101;03/12/2025;1233;Davis Inc;04/03/2024;Cuidados Intensivos;Monitorização;1184;Ala Norte
100;103;22/11/2024;4510;Flores-Martin;24/07/2020;Neurologia;Diagnóstico;1185;Calibração pendente
53;108;07/02/2024;1602;Morrison PLC;30/11/2017;Radiologia;Sutura Mecânica;1186;Ala Norte
151;102;12/09/2020;1149;Dunn, Serrano and Dillon;03/12/2012;Radiologia;Ventilação;1187;Software v4.2
152;104;02/12/2023;4106;Rogers-Blake;12/02/2018;Urgências;Imagiologia;1188;Piso 1
71;102;11/01/2024;826;Gallegos and Sons;06/07/2022;Cuidados Intensivos;Ventilação;1189;Calibração pendente
153;101;10/05/2021;3043;Evans-Lang;08/06/2014;Neurologia;Monitorização;1190;Calibração pendente
108;105;13/01/2021;3693;Sanford, Malone and Donovan;03/04/2013;Pediatria;Esterilização;1191;Manutenção efetuada
154;106;17/05/2025;3120;Curtis LLC;28/09/2021;Cuidados Intensivos;Infusão;1192;Ala Norte
155;103;12/07/2024;1799;Yang, Torres and Patel;21/09/2022;Neurologia;Diagnóstico;1193;Equipamento Novo
156;106;18/01/2022;382;Martinez PLC;22/04/2014;Pediatria;Infusão;1194;Equipamento Novo
123;101;29/05/2022;1727;Jackson and Sons;23/01/2019;Urgências;Monitorização;1195;Software v4.2
9;106;27/01/2021;2612;Sanders Group;13/06/2017;Urgências;Infusão;1196;Software v4.2
95;105;15/08/2023;1351;Silva PLC;31/03/2022;Ginecologia;Esterilização;1197;Ala Norte
157;106;29/07/2025;4820;Jackson-Williams;03/02/2022;Cuidados Intensivos;Infusão;1198;Software v4.2
158;103;29/06/2022;4053;Ewing Ltd;29/08/2015;Cuidados Intensivos;Diagnóstico;1199;Piso 1
159;108;06/04/2025;2671;Reed LLC;31/05/2015;Radiologia;Sutura Mecânica;1200;Software v4.2
160;102;07/02/2026;1994;Stuart Inc;22/02/2020;Ortopedia;Ventilação;1201;Piso 1
63;108;22/12/2022;1891;Moore, Brady and Scott;24/08/2016;Radiologia;Sutura Mecânica;1202;Ala Norte
54;102;30/05/2022;3261;Mcfarland, Norris and Wilson;16/02/2019;Pediatria;Ventilação;1203;Calibração pendente
153;104;21/11/2020;1832;Evans-Lang;14/09/2015;Pediatria;Imagiologia;1204;Ala Norte
131;103;12/10/2022;218;Bailey-Warren;13/03/2016;Pediatria;Diagnóstico;1205;Ala Norte
161;102;16/11/2020;4851;James-Bennett;08/10/2017;Ortopedia;Ventilação;1206;Sala 302
162;105;25/09/2025;3140;Huffman, Crawford and Roberts;09/02/2021;Ortopedia;Esterilização;1207;Uso Urgente
163;101;08/08/2020;1427;Rubio, Ryan and Phillips;03/04/2014;Cardiologia;Monitorização;1208;Sala 302
30;107;02/01/2023;528;Manning-Long;26/03/2018;Ortopedia;Desfibrilhação;1209;Software v4.2
68;107;08/04/2023;3210;Foster, Cabrera and Woods;04/03/2017;Radiologia;Desfibrilhação;1210;Ala Norte
164;102;12/12/2023;867;Fox-Tucker;07/12/2017;Cardiologia;Ventilação;1211;Equipamento Novo
139;103;02/12/2023;2534;Bradley, Bernard and Castro;21/01/2022;Cuidados Intensivos;Diagnóstico;1212;Calibração pendente
165;106;03/02/2025;3384;Anthony-Harris;27/07/2022;Urgências;Infusão;1213;Calibração pendente
106;103;08/07/2021;4863;Hamilton PLC;06/08/2013;Ortopedia;Diagnóstico;1214;Ala Norte
166;105;24/06/2022;3841;Price, Ortiz and Buck;25/12/2013;Ginecologia;Esterilização;1215;Ala Norte
167;101;29/09/2023;550;Gomez, Cooley and Faulkner;21/12/2018;Ginecologia;Monitorização;1216;Piso 1
168;106;01/08/2023;3888;Schwartz Ltd;06/05/2020;Bloco Operatório;Infusão;1217;Calibração pendente
169;104;29/12/2022;1296;Mckinney-Fischer;10/11/2021;Oncologia;Imagiologia;1218;Manutenção efetuada
113;103;08/01/2024;2625;Kirby and Sons;12/04/2021;Neurologia;Diagnóstico;1219;Sala 302
170;102;17/05/2025;2312;Arnold-Armstrong;22/03/2021;Cuidados Intensivos;Ventilação;1220;Sala 302
24;103;02/02/2026;3530;Vang, Tanner and Robinson;17/04/2017;Pediatria;Diagnóstico;1221;Manutenção efetuada
164;106;24/11/2020;4945;Fox-Tucker;19/08/2012;Pediatria;Infusão;1222;Ala Norte
62;104;05/03/2023;434;Rodriguez Inc;03/09/2014;Radiologia;Imagiologia;1223;Sala 302
171;108;12/11/2023;924;Cox Ltd;16/10/2018;Cuidados Intensivos;Sutura Mecânica;1224;Uso Urgente
117;106;29/12/2021;1606;Mills Ltd;22/11/2016;Ortopedia;Infusão;1225;Equipamento Novo
117;108;29/12/2021;1606;Mills Ltd;23/02/2015;Pediatria;Sutura Mecânica;1137;Manutenção efetuada
6;102;25/07/2025;2065;Russell LLC;31/10/2020;Ortopedia;Ventilação;1226;Piso 1
172;105;21/05/2023;908;Sellers-Ortiz;03/11/2013;Ortopedia;Esterilização;1227;Sala 302
173;108;30/08/2023;446;Stewart and Sons;28/05/2020;Bloco Operatório;Sutura Mecânica;1228;Uso Urgente
174;103;28/01/2020;2472;Marshall-Lane;21/11/2011;Oncologia;Diagnóstico;1229;Sala 302
82;105;06/02/2021;3335;Rodriguez-Willis;23/02/2011;Cardiologia;Esterilização;1230;Software v4.2
105;108;05/08/2025;3118;Cooper, Walker and Farrell;22/04/2024;Cardiologia;Sutura Mecânica;1231;Ala Norte
175;104;12/03/2020;2938;Martinez Group;16/04/2011;Radiologia;Imagiologia;1232;Piso 1
176;106;29/05/2021;2369;Morgan, Gregory and Duran;06/03/2017;Ginecologia;Infusão;1233;Manutenção efetuada
119;106;06/03/2023;1167;Flowers Inc;24/10/2018;Radiologia;Infusão;1139;Uso Urgente
177;105;24/02/2022;1730;Harris LLC;07/11/2019;Neurologia;Esterilização;1234;Sala 302
163;107;04/05/2025;2502;Rubio, Ryan and Phillips;11/01/2016;Ortopedia;Desfibrilhação;1235;Piso 1
178;105;02/08/2025;2149;Haney and Sons;27/01/2016;Radiologia;Esterilização;1236;Manutenção efetuada
103;102;02/01/2020;4316;Brown Group;20/08/2018;Cardiologia;Ventilação;1120;Equipamento Novo
179;102;04/04/2022;1625;Thomas LLC;21/09/2014;Oncologia;Ventilação;1237;Software v4.2
180;102;19/09/2023;4161;Lee, Herman and Ramirez;26/08/2022;Bloco Operatório;Ventilação;1238;Piso 1
181;108;29/01/2026;1940;Williams-Shelton;04/07/2017;Neurologia;Sutura Mecânica;1239;Manutenção efetuada
77;108;08/03/2023;1901;Smith LLC;05/06/2020;Urgências;Sutura Mecânica;1240;Sala 302
182;105;16/07/2023;3847;Williams Group;05/05/2014;Bloco Operatório;Esterilização;1241;Equipamento Novo
183;101;06/10/2023;2034;Lewis, Rosales and Barrett;07/08/2019;Pediatria;Monitorização;1242;Sala 302
183;101;06/10/2023;2034;Lewis, Rosales and Barrett;27/02/2017;Neurologia;Monitorização;1243;Uso Urgente
